Ticker,Avg_Daily_Return,Beta,Annual_Volatility,Cluster_Agglom,Label_Agglom,Cluster_KMeans,Label_KMeans
COST,0.0016431769252635044,0.80980250654696,0.18201206360820335,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CPAY,0.0011136785561623478,0.9510172357707397,0.24515395174067264,1,Defensive / Low-Risk,0,Aggressive Growth
CPB,-0.0004075465683625093,-0.030684750697088946,0.22050124415351044,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CPRT,0.001021379516843168,1.0166019163142337,0.22761224815890793,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CPT,0.00041042425214142026,0.6774100343730933,0.21785492420162647,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CRH,0.0017717053597789713,1.2338099843870503,0.25829563562016183,0,Aggressive Growth,0,Aggressive Growth
CRL,0.00017454715638253026,1.3680769095061522,0.34680260300707705,0,Aggressive Growth,0,Aggressive Growth
CRM,0.001554491576006156,1.320856004985502,0.32528769025151966,0,Aggressive Growth,0,Aggressive Growth
CRWD,0.00294902741916136,1.811231825167187,0.4431641237899949,0,Aggressive Growth,0,Aggressive Growth
CSCO,0.0008027974055528762,0.6974840132023332,0.1867113594888657,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CSGP,6.587946996224887e-05,0.9211378507457066,0.28106553972193754,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CSX,0.00021232430266601417,0.7433809740471276,0.20343249007370443,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CTAS,0.0012440842056768377,0.843507140407537,0.20609527966709182,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CTRA,0.00038360631503635197,0.6275365883112056,0.24292153255974877,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CTSH,0.0006392003673828167,0.8089858853755232,0.20886338781716532,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CTVA,0.00020664905878538855,0.734716483938407,0.28177758701641376,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CVNA,0.01024054578834803,3.258963455347038,1.1051478848938294,0,Aggressive Growth,0,Aggressive Growth
CVS,-0.0006691219784979028,0.4509221857365396,0.3263256954093302,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CVX,7.270881226902194e-05,0.40554294001069535,0.20262091730950502,1,Defensive / Low-Risk,1,Defensive / Low-Risk
D,0.0002085902510569036,0.22710386636572882,0.23366693239725106,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DAL,0.0016775459912342805,1.292027695396075,0.311525024178842,0,Aggressive Growth,0,Aggressive Growth
DASH,0.0026101634741613365,1.4053112285916254,0.35871433248819207,0,Aggressive Growth,0,Aggressive Growth
DD,0.0006195200435115726,0.7894411963252768,0.24372369493921028,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DDOG,0.001936935905948082,1.6331086773746868,0.45583917293468845,0,Aggressive Growth,0,Aggressive Growth
DE,0.00047671516281796994,0.7937231485453248,0.24058483155434815,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DECK,0.0025125472297913383,1.3192798128252763,0.3752830872972847,0,Aggressive Growth,0,Aggressive Growth
DELL,0.002890535280461374,1.7541628703771273,0.523570372418978,0,Aggressive Growth,0,Aggressive Growth
DG,-0.002034769808430277,0.27336785854962387,0.43072726220548774,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DGX,0.0004095862084602957,0.2814496875748034,0.19259329148110724,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DHI,0.000862958185732772,0.9925843675446673,0.31472122001456915,0,Aggressive Growth,0,Aggressive Growth
DHR,0.0002747378123665904,0.6869346802957856,0.22213381909694196,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DIS,0.0004826218370804808,0.6525507011022462,0.25973311460280857,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DLR,0.0017701285625371045,1.0452700467672624,0.27387731096648615,0,Aggressive Growth,0,Aggressive Growth
DLTR,-0.0013849834619608235,0.6131793171713439,0.38144921547937977,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DOC,0.0002617650913868772,0.8300301692907143,0.26121652894481706,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DOV,0.000806324429812236,0.9297770417922374,0.20709001028046148,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DOW,-0.00037317740392078856,0.7238185153353801,0.20655694497050908,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DPZ,0.000923729651977457,0.8062014290772869,0.276029769766321,1,Defensive / Low-Risk,0,Aggressive Growth
DRI,0.0007183649038486229,0.6467631917056516,0.24240862042602576,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DTE,0.00038296644504400853,0.25265931354437116,0.18501736758159318,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DUK,0.000456151088742721,0.167995007691352,0.16908900043937383,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DVA,0.0015267044404407022,0.49806939936967287,0.34064768720743877,1,Defensive / Low-Risk,0,Aggressive Growth
DVN,-0.0005984444139699194,0.6646266880025594,0.27349167368100846,1,Defensive / Low-Risk,1,Defensive / Low-Risk
DXCM,-0.00041843103427574823,0.5984002810392749,0.498102259418684,1,Defensive / Low-Risk,1,Defensive / Low-Risk
EA,0.00048619902904066314,0.6835734122589993,0.18304999768346003,1,Defensive / Low-Risk,1,Defensive / Low-Risk
EBAY,0.0010205169902514917,0.8072011344304703,0.2573161665926413,1,Defensive / Low-Risk,1,Defensive / Low-Risk
ECL,0.0008471770321278443,0.6315004247336874,0.18289591161199165,1,Defensive / Low-Risk,1,Defensive / Low-Risk
ED,-3.432964543823238e-05,0.094447359907614,0.16870348600232085,1,Defensive / Low-Risk,1,Defensive / Low-Risk
EFX,0.0008023992793748794,1.1785576460501894,0.2833194699924577,0,Aggressive Growth,0,Aggressive Growth
EG,0.00014064304327778105,0.49282067594214696,0.2440666020274746,1,Defensive / Low-Risk,1,Defensive / Low-Risk
